rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.00512611	-0.0016933	0.000520801	-0.00999519	0.0124699	-0.0998743		0.0
0.0044706	-0.00140063	0.000364448	-0.000166588	0.0382839	-0.0780512	0.0517357	0.112692352
0.00488546	-0.0016933	0.000111306	-0.0197625	0.0345355	-0.0798818	0.035495	0.07320851200000003
0.00494002	-0.0016933	0.000233302	0.00217078	0.0369079	-0.0798812	0.0240198	0.03313407999999998
0.00460633	-0.00178593	0.000269324	-0.0159328	0.0299351	-0.0798832	0.0263096	0.04819548000000001
0.00448623	-0.0016933	0.000375103	-0.000193083	0.0298031	-0.0840934	0.0189438	0.036007366999999985
0.00338847	-0.0016933	0.000279712	-0.0196923	0.0277333	-0.0561262	0.0700881	0.10919376699999998
0.00274211	-0.00112575	0.000215316	-0.000145502	0.0198311	-0.0539125	0.0484254	0.09357799800000001
0.00199215	0.000153966	0.00070899	0.0199388	0.0309748	-0.0463157	0.0825525	0.164992302
0.00158836	-0.000142049	0.000256105	-0.0197825	0.0177361	-0.0263729	0.0607458	0.1305373
0.00195172	-8.051399999999998e-05	-9.622720000000002e-06	-0.0122606	0.0285792	-0.0370981	0.0299338	0.063621336
0.00158836	-8.051399999999998e-05	0.000139166	-0.0167237	0.0286178	-0.0370891	0.0204061	0.030118136000000007
0.00115501	-8.051399999999998e-05	-0.000152115	-0.0237382	0.0156749	-0.0319979	0.0328926	0.061280150000000005
0.00010308	-8.051399999999998e-05	8.28189e-05	-0.0169679	0.0127634	-0.00648695	0.0652073	0.099535945
-0.000304388	-8.051399999999998e-05	0.000156899	-0.00821114	0.0164237	0.00490583	0.027257	0.047887245
-0.00010122	-0.000150746	0.000181441	-0.00626508	0.0098742	-0.00270013	0.0155566	0.03099862
-0.00020366	2.69088e-05	-0.000129559	-0.0179609	-0.00417843	-0.0127294	0.0296168	0.06533246000000001
0.000230335	-8.051399999999998e-05	4.80872e-05	-0.00750795	-0.00422348	-0.0453961	0.0452933	0.0791179
0.000498131	-0.000252314	-0.000129559	-0.0179634	-0.00422266	-0.0223394	0.0300505	0.06437508
0.000119574	0.00020083	0.000283716	-0.0179699	-0.00161875	0.00908755	0.0501299	0.09628616000000001
0.000165028	-8.05141e-05	0.000283716	-0.0039465	-0.00421753	0.00908585	0.0211774	0.032963785
-0.000434221	-8.051399999999998e-05	7.64084e-05	-0.00423874	-0.0078039399999999	0.0090572	0.0331059	0.044235134999999905
-0.000945737	-8.051399999999998e-05	-0.0001053	-0.0179107	-0.0154829	0.0285865	0.0404956	0.0755414400000001
0.000207931	-8.051399999999998e-05	-0.00011586	-0.0179175	-0.00428801	-0.0304868	0.0912844	0.12848639
-0.000140731	-8.051399999999998e-05	-0.00011586	-0.0179175	-0.00422787	-0.00699501	0.0316656	0.040985030000000006
-0.000415189	-8.05141e-05	-0.00011586	-0.0179175	-0.00425178	0.0168553	0.0295235	0.037597125
0.00014717	8.71536e-05	0.00019782	0.000463163	-0.00419993	0.0135524	0.0400588	0.073920748
-0.000591031	-8.05141e-05	0.0002824	-0.000716905	-0.0174928	-0.00241341	0.0431958	0.079961183
-0.000838753	-8.05141e-05	-1.77132e-05	-0.0230547	-0.0217685	-0.0133795	0.0333096	0.064971345
