rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.0063283	0.000629545	0.00124579	0.0215487	0.121108	0.0286472		0.0
0.00483626	0.000919904	0.00146113	0.0209275	0.0617616	0.0494759	0.115774	0.18068325
0.00421012	0.000355166	0.00146113	0.0341103	0.0952413	0.0675558	0.0586381	0.1242863
0.00444105	0.000348239	0.00137305	0.034104	0.104007	0.0675336	0.0173183	0.02509104999999999
0.00373766	-4.40771e-22	0.00101635	0.0361278	0.0341242	0.0126014	0.104969	0.19725525
0.0036071	-0.0	0.000946189	0.0340989	0.0941971	0.0410079	0.0653239	0.10054435000000003
0.00349437	-0.0	0.0008653359999999	0.0340979	0.0549416	0.0410125	0.0418033	0.04894025000000499
0.00277059	-0.0	0.0008653359999999	0.0265352	0.0815453	0.0615944	0.047702	0.09093730000000001
0.00297208	0.00025547	0.0006869	0.0135526	0.0548957	0.0208635	0.0556272	0.112132899999995
0.00215584	-6.30161e-23	0.000389446	0.0135248	0.0638997	0.0449765	0.0549345	0.10160300000000001
0.00257219	-0.0	0.000230963	0.0177063	0.0548952	0.0192785	0.0364328	0.06762565
0.00173389	-0.000101552	0.000618747	0.0177212	0.0548203	0.0387965	0.0545443	0.08598959999999997
0.00194224	0.000275124	3.22197e-05	-0.00931144	0.0112735	0.000690262	0.0782281999999999	0.167263343
0.00125093	-0.0	3.22197e-05	-0.000233828	0.0387899	0.0223595	0.051076	0.10658495000000001
0.000840606	0.000228963	-0.000371221	0.0112214	-0.0332419	0.0046141	0.0871006	0.15336881300000002
0.00125093	-0.000453319	-0.000371221	0.0100991	0.0540557	0.0172958	0.102868	0.1557319
0.000838952	-2.16871e-05	2.16461e-05	0.0177256	-0.0125253	-0.0103938	0.0843938999999999	0.16372095000000003
0.00125093	-0.000345621	0.000162536	0.0177358	0.023492	0.000377238	0.0518655	0.090638628
0.000283723	-0.000214188	8.96101e-06	0.0285754	-0.0195591	-0.0237022	0.0791616	0.1405808875
0.0007299509999999	-0.00013025	0.000179251	0.0129015	0.0331448	0.00191212	0.0703866	0.129014919499995
0.000164655	-4.00685e-05	-8.73929e-05	0.000289632	0.004317	0.0159259	0.0548911	0.101559517999995
1.34587e-05	0.000114454	-2.00971e-05	-0.00364551	-0.0206881	-0.024665	0.0500974	0.08818187200000001
1.34587e-05	-4.00685e-05	-0.000192673	-0.00691314	0.0169779	-0.00218015	0.0452338	0.0797734
0.000151047	-4.00685e-05	-0.000273348	-0.00987656	0.012171	-0.00345515	0.00952845	0.019958485000000005
1.34587e-05	-4.00685e-05	-0.000461377	-0.0163042	-0.0384774	-0.055263	0.0750809999999999	0.12516475500000002
0.000473062	-0.00032131	-0.000273348	0.00463044	0.0248798	-0.049199	0.0810031999999999	0.13679953
-0.000781432	-0.000527372	-6.63877e-05	0.0288021	-0.0397765	-0.0296455	0.112584	0.191757275
-0.000177725	-0.000466233	-0.000273348	0.00438228	0.00701737	-0.0137108	0.0702674	0.130738705
-0.00110838	-0.000597982	-0.000273348	0.0235107	-0.0239129	-0.0491169	0.0746067	0.13858499
-0.000680616	-0.000466233	-0.000273348	0.00438228	0.00335619	-0.0161097	0.0546303	0.10738036000000001
-0.00117995	-0.000554401	-0.000273348	0.00437542	-0.07674	-0.0808091999999999	0.109917	0.1741776499999999
