rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.00231967	0.000547994	-0.000422495	-0.042625	0.0295172	-0.0966269		0.0
0.00187371	-5.293960000000001e-23	-0.000176151	-0.0234516	0.0181204	-0.0723574	0.0506616	0.1168546
0.00216817	-0.0	-0.000268469	-0.0225898	0.00676089	-0.0587298	0.0229498	0.04518781
0.00227804	0.000443436	-0.000260511	-0.0260688	0.0106267	-0.0566969	0.0240488	0.03744090999999999
0.00185493	-0.0	0.0	-0.0104125	0.0217171	-0.0630413	0.0394952	0.08944394999999998
0.00165838	0.0005473	0.0	-0.0121566	0.00647561	-0.0374831	0.0433941	0.07973629
0.00200727	0.000699795	0.0	0.0114377	0.0258634	-0.0487507	0.0380162	0.07931893999999999
0.00165838	0.000201096	0.0	-0.00206046	0.0128982	-0.0487637	0.0359675	0.06885580999999999
0.00165838	9.75689e-05	-0.000168172	-0.0145291	0.0114929	-0.029022	0.02524	0.047200595
0.00172297	0.000533324	-1.05879e-22	-0.00205078	0.0144282	-0.031496	0.0269185	0.051313475
0.00114361	0.000249418	0.0	-0.0191492	0.0258862	-0.0261125	0.0385649	0.07710322000000001
0.00107188	0.000494007	-0.000483546	-0.0191541	0.025884	-0.00130194	0.0378399	0.06481090999999999
0.000957549	0.000515004	-0.000425103	-0.00867645	0.0258839	-0.00129986	0.0124557	0.020168380000000003
0.000474842	0.000207674	-0.000425103	-0.0191536	0.00987519	-0.00131056	0.0349045	0.06599841000000001
0.000673524	0.000535147	-0.000425103	-0.0191632	0.0126772	-0.00132441	0.0196427	0.029133209999999996
0.000347963	-0.0	-0.000425103	-0.0191552	0.00987501	-0.00130404	0.031891	0.04586596
0.000474842	2.5767700000000012e-23	-0.00047533	-0.0191553	0.00987305	-0.0013042	0.00691855	0.008857519999999997
0.000474842	0.000282286	-0.000425103	-0.00646377	0.00987519	-0.00130857	0.0190919	0.029323689999999996
0.000300214	5.34968e-05	-0.000425103	-0.019155	0.00987585	-0.00130219	0.0191027	0.032869129999999996
0.000474842	-2.30449e-23	-0.000425103	-0.00716971	0.0125326	0.00661314	0.0171473	0.03396361
